iter	Logloss
0	0.6730340939
1	0.6526989263
2	0.6349964725
3	0.6172629138
4	0.6030466546
5	0.5900499047
6	0.5787285976
7	0.5665055597
8	0.557134959
9	0.5465394267
10	0.5375108782
11	0.5285215218
12	0.5194221768
13	0.5124855517
14	0.5064232034
15	0.4991843022
16	0.4915446916
17	0.4869027412
18	0.4801695003
19	0.4731082213
20	0.4675000787
21	0.4624863728
22	0.4578768213
23	0.4535815907
24	0.4493160705
25	0.443026554
26	0.4374341849
27	0.4343073452
28	0.4288145595
29	0.4253914773
30	0.4215804251
31	0.4177471388
32	0.4131562263
33	0.4091803928
34	0.4048136587
35	0.4027508539
36	0.3996070828
37	0.3977808411
38	0.3945376633
39	0.3922865882
40	0.3898017387
41	0.3878175524
42	0.38623365
43	0.3832684352
44	0.3820325599
45	0.3796935967
46	0.3774699716
47	0.3740965726
48	0.3726108647
49	0.3704035802
50	0.3693104892
51	0.367829534
52	0.3664532123
53	0.3639833728
54	0.362303726
55	0.3596073389
56	0.358677875
57	0.3579312312
58	0.3570083987
59	0.3555411215
60	0.3537278136
61	0.3516975622
62	0.3499544031
63	0.3478545451
64	0.346377624
65	0.3454432769
66	0.3431745748
67	0.3427147995
68	0.341794066
69	0.340790177
70	0.3399139099
71	0.3382383254
72	0.3371357554
73	0.3360367281
74	0.3354008773
75	0.3347937528
76	0.3329216594
77	0.3321059011
78	0.3311105917
79	0.3305066394
80	0.3299789981
81	0.3284824377
82	0.327911148
83	0.3264799934
84	0.3257127281
85	0.3245580638
86	0.3236654326
87	0.3232346833
88	0.3222544206
89	0.3207575598
90	0.3193801598
91	0.3179705367
92	0.3165857037
93	0.3156166072
94	0.3148473789
95	0.3144905547
96	0.3134660827
97	0.3130438735
98	0.3121121644
99	0.3115668134
100	0.3103650642
101	0.3091079445
102	0.308723311
103	0.3076762923
104	0.3067485592
105	0.3057974043
106	0.3044787601
107	0.3033996719
108	0.3031406382
109	0.3023415187
110	0.3009447151
111	0.3002662705
112	0.2985820496
113	0.2975935605
114	0.2965746925
115	0.2957092968
116	0.2951288561
117	0.2944967117
118	0.2942440908
119	0.2933152351
120	0.2925728425
121	0.2920877428
122	0.2912409707
123	0.2909106345
124	0.2899077484
125	0.2894940299
126	0.288809403
127	0.2879886478
128	0.2877112435
129	0.2870893947
130	0.2863633492
131	0.2853657522
132	0.2847262087
133	0.2838531682
134	0.2835276155
135	0.2826358464
136	0.2825400721
137	0.2814254628
138	0.2804011901
139	0.2792558386
140	0.2785685384
141	0.2782573804
142	0.277792008
143	0.2765818446
144	0.2759533828
145	0.275455958
146	0.2750754593
147	0.2741812653
148	0.2735874984
149	0.2725410241
