iter	Passed	Remaining
0	24	3652
1	31	2362
2	35	1732
3	37	1353
4	43	1267
5	45	1085
6	46	945
7	47	835
8	48	752
9	49	694
10	50	636
11	51	588
12	52	553
13	53	519
14	54	491
15	55	465
16	56	445
17	60	440
18	63	435
19	64	416
20	65	403
21	66	388
22	67	373
23	68	360
24	69	349
25	70	337
26	71	327
27	72	315
28	74	309
29	75	303
30	77	295
31	77	286
32	78	278
33	79	271
34	80	263
35	81	259
36	82	253
37	84	247
38	85	243
39	86	238
40	88	234
41	89	231
42	91	227
43	92	221
44	92	216
45	93	210
46	94	206
47	95	203
48	96	199
49	97	195
50	98	192
51	99	188
52	100	184
53	102	182
54	103	178
55	104	175
56	105	172
57	106	169
58	107	165
59	108	163
60	109	160
61	110	157
62	111	154
63	112	151
64	113	148
65	114	145
66	115	143
67	116	140
68	117	138
69	119	136
70	120	133
71	122	132
72	123	129
73	123	127
74	124	124
75	125	122
76	127	120
77	127	117
78	128	115
79	129	113
80	130	111
81	131	109
82	132	107
83	133	104
84	134	102
85	134	100
86	135	98
87	136	96
88	137	94
89	138	92
90	139	90
91	140	88
92	141	86
93	141	84
94	142	82
95	143	80
96	144	78
97	145	76
98	146	75
99	147	73
100	148	71
101	149	70
102	150	68
103	151	67
104	152	65
105	153	63
106	154	62
107	155	60
108	156	58
109	157	57
110	158	55
111	159	53
112	159	52
113	160	50
114	162	49
115	163	47
116	164	46
117	167	45
118	168	43
119	168	42
120	170	40
121	171	39
122	172	37
123	173	36
124	174	34
125	174	33
126	176	31
127	177	30
128	178	29
129	179	27
130	180	26
131	181	24
132	182	23
133	183	21
134	184	20
135	185	19
136	185	17
137	186	16
138	187	14
139	188	13
140	188	12
141	189	10
142	190	9
143	191	7
144	192	6
145	193	5
146	195	3
147	196	2
148	197	1
149	198	0
